S. No.,Year,Month,Checks Count,Checks Total,Withdrawals/Debits Total,Deposits/Credits Total,Criteria Met,Source File
1,2025,April,28,"13,158.16","17,382.78",N/A,,April 2025 Acc. 5111.docx
2,2025,August,26,"28,217.99","22,512.60",N/A,,Aug. 2025 Acc. 5111.docx
3,2024,December,30,"24,054.01","28,456.92",N/A,,Dec. 2024 Acc. 5111.docx
4,2025,February,25,"11,147.91","17,964.66",N/A,,Feb. 2025 Acc. 5111.docx
5,2025,January,21,"13,977.14","26,503.60",N/A,,Jan. 2025 Acc. 5111.docx
6,2025,July,20,"20,290.98","23,632.00",N/A,,July 2025 Acc. 5111.docx
7,2025,June,26,"22,525.61","35,318.58",N/A,,June 2025 Acc. 5111.docx
8,2025,March,23,"13,567.85","17,897.86",N/A,,March 2025 Acc. 5111.docx
9,2025,May,33,"18,445.57","22,725.20",N/A,,May 2025 Acc. 5111.docx
10,2024,November,32,"14,691.88","27,349.02",N/A,,Nov. 2024 Acc. 5111.docx
11,2024,October,31,"22,640.98","36,862.51",N/A,,Oct. 2024 Acc. 5111.docx
12,2024,Sept,32,"21,339.77","23,897.49",N/A,,Sept. 2024 Acc. 5111.docx
13,2025,Sept,21,"8,005.10","26,563.22",N/A,,Sept. 2025 Acc. 5111.docx
