Year,Month,Beginning Balance (USD),Checks (Amount),Withdrawals / Debits (USD),Deposits / Credits (USD),Ending Balance (USD)
2025,April,8826.70,-12674.71,-37.00,10000.00,6114.99
2025,April,8826.70,-12674.71,-37.00,10000.00,6114.99
2025,Aug,7203.70,-12254.09,0.00,10000.00,4949.61
2024,Dec,382.47,-13444.50,-111.00,17000.00,3826.97
2025,Feb,4622.68,-8599.74,-37.00,8000.00,3985.94
2025,Jan,3826.97,-12704.29,0.00,13500.00,4622.68
2025,July,8906.68,-13702.98,0.00,12000.00,7203.70
2025,June,4197.61,-15290.93,0.00,20000.00,8906.68
2025,March,3985.94,-9159.24,0.00,14000.00,8826.70
2025,May,6114.99,-11917.38,0.00,10000.00,4197.61
2024,Nov,4694.91,-14312.44,0.00,10000.00,382.47
2024,Oct,2157.48,-15462.57,0.00,18000.00,4694.91
