Year,Month,Type,Date,Amount (USD),Description
2025,April,Withdrawals / Debits,04/21,-37.00,OVERDRAFT FEE
2025,April,Deposits / Credits,04/21,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01117609066
2025,April,Deposits / Credits,04/25,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01119033863
2025,April,Withdrawals / Debits,04/21,-37.00,OVERDRAFT FEE
2025,April,Deposits / Credits,04/21,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01117609066
2025,April,Deposits / Credits,04/25,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01119033863
2025,Aug,Deposits / Credits,08/13,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01155362821
2025,Aug,Deposits / Credits,08/26,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01159606693
2024,Dec,Withdrawals / Debits,12/19,-111.00,OVERDRAFT FEE
2024,Dec,Deposits / Credits,12/03,3000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01073543064
2024,Dec,Deposits / Credits,12/09,4000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01074945610
2024,Dec,Deposits / Credits,12/19,7000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01078634916
2024,Dec,Deposits / Credits,12/27,3000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01081111360
2025,Feb,Withdrawals / Debits,02/25,-37.00,OVERDRAFT FEE
2025,Feb,Deposits / Credits,02/12,3000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01095363339
2025,Feb,Deposits / Credits,02/25,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01099335486
2025,Jan,Deposits / Credits,01/02,3500.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01082887061
2025,Jan,Deposits / Credits,01/09,3000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01084971087
2025,Jan,Deposits / Credits,01/21,4000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01088493410
2025,Jan,Deposits / Credits,01/28,3000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01090549125
2025,July,Deposits / Credits,07/15,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01145630094
2025,July,Deposits / Credits,07/30,7000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01150598559
2025,June,Deposits / Credits,06/03,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01131850421
2025,June,Deposits / Credits,06/17,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01136444736
2025,June,Deposits / Credits,06/25,10000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01139000438
2025,March,Deposits / Credits,03/04,4000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01101958710
2025,March,Deposits / Credits,03/13,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01104929034
2025,March,Deposits / Credits,03/31,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01110638689
2025,May,Deposits / Credits,05/06,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01122692185
2025,May,Deposits / Credits,05/27,5000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01129317536
2024,Nov,Deposits / Credits,11/08,4000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01066034776
2024,Nov,Deposits / Credits,11/15,3000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01068071528
2024,Nov,Deposits / Credits,11/22,3000.00,5/3 ONLINE TRANSFER FROM CK: XXXXXX5111 REF # 01070222979
