sr,code,division,name,district,address
1,0000101535,Karachi,AHMED SERVICE STATION N/V CF KARACHI EAS,KARACHI,T DADABHOY NOROJI ROAD AKASHMIR ROAD
2,0000101536,Karachi,CHAND SUPER SERVICE N/V CF KARACHI WEST,KARACHI,PSO  RETAIL DEALERSST/1-A BLOCK 17F
3,0000101537,Karachi,GLOBAL PETROLEUM SERVICE N/V CF KARACHI,KARACHI,"EAST PLOT NO. 234SECTOR NO.3,"
4,0000101538,Karachi,FAISAL SERVICE STATION N/V CF KARACHI WE,KARACHI,ST ST 1-A BLOCK 6FEDERAL B AREADISTT K
5,0000101540,Karachi,RAANA GASOLINE N/V CF KARACHI WEST SERVI,KARACHI,CE STATIONPSO  RETAIL DEALERAPWA SCHOOL LIAQA
6,0000101543,Karachi,"SHAHGHAZI P/S N/V DFA MALIR SURVEY#81,45",KARACHI,/ 46 KM SUPER HIGHWAY
7,0000101544,Karachi,GARDEN PETROL SERVICE N/V CF KARACHI SOU,KARACHI,TH OPP FATIMA JINNAHGIRLS HIGH SCHOOLN
8,0000101545,Karachi,RAZA PETROL SERVICE N/V CF KARACHI SOUTH,KARACHI,282/2 LAWRENCE ROADKARACHIDISTT KARACHI-SOUTH
9,0000101548,Karachi,FANCY SERVICE STATION N/V CF KARACHI WES,KARACHI,T ST-1A BLOCK 10FEDERAL B AREADISTT KARACHI WEST
10,0000101550,Karachi,SIDDIQI SERVIC STATION S/S DFB KARACHI E,KARACHI,AST RASHID MINHAS ROADKARACHIDISTT KARACHI EAST
11,0000101555,Karachi,EASTERN SERIVCE STN N/V DFA KARACHI WEST,KARACHI,D-201 SITEDIST KARACHI-WEST
12,0000101562,Karachi,AL-YASIN FILL STN N/V DFA KARACHI WEST S,KARACHI,T-1/2 15-A/1 NORTHKAR TOWNSHIP KAR WEST
13,0000101563,Karachi,DUREJI FILLING STATION S/S DFA LASBELA K,KARACHI,M-4/5 HUB-DUREJI RDPATHRO HUBLASBE
14,0000101566,Karachi,R C D FILLING STATION N/V DFA LASBELA HU,KARACHI,B CHOWKI LASBELADISTT LASBELA
15,0000101573,Karachi,FAROOQ SERVICE CENTRE N/V CF KARACHI WES,KARACHI,T N SIDDIQ ALI KHAN ROADCHOWRANGI NO-3NAZIMABADDISTT
16,0000101577,Karachi,METRO SERVICE STATION N/V CF KARACHI WES,KARACHI,T OPP JINAH COLLEGEN-NAZIMABADDISTT  K
17,0000101580,Karachi,MANSOOR SER STATION N/V CF KARACHI WEST,KARACHI,1/J/8/C NAZIMABADKARACHIDISTT KARACHI WEST
18,0000101583,Karachi,CHOWRANGI SER STATION N/V CF KARACHI WES,KARACHI,T NAZIMABAD CHOWRANGI KARACHI DISTT KARACHI
19,0000101584,Karachi,SHEERIN SER STATION N/V DFA KARACHI EAST,KARACHI,PLOT NO-15/1 OIL INSTSHAHRA-E-GHALIBKARACHI
20,0000101585,Karachi,MALKA SONS PET PUMP N/V CF KARACHI SOUTH,KARACHI,WESTWHARF ROAD KARACHI
21,0000101588,Karachi,KAUSAR SERVICE STATION N/V CF KARACHI SO,KARACHI,UTH LYARI QUARTERSCHAKIWARADISTT KARACHI SOUTH
