platform,title,brand,grade,pack_l,oil_type,price_pkr,price_per_l,original_price,discount_pct,url
pakwheels,HAVOLINE 4T Motor Cycle Oil SAE 20W-40 (1 L),Havoline 4T,20W-40,1.0,MCO,1290.0,1290.0,1440.0,10.4,https://www.pakwheels.com/accessories-spare-parts/havoline-4t-motor-cycle-oil-sae-20w-40-1-l-6006999
pakwheels,HAVOLINE SUPER 4T SAE 20W-50 (1 L),Havoline Super 4T,20W-50,1.0,MCO,1520.0,1520.0,1680.0,9.5,https://www.pakwheels.com/accessories-spare-parts/havoline-super-4t-sae-20w-50-1-l-6007030
pakwheels,Totachi 5w30 SAE API SP/GF6A Hyper Eco Drive Full Synthetic Oil 4L,Totachi,5W-30,4.0,PCMO,13000.0,3250.0,0.0,0.0,https://www.pakwheels.com/accessories-spare-parts/totachi-5w30-sae-api-sp-gf6a-hyper-eco-drive-full-synthetic-oil-4l-7641775
pakwheels,HAVOLINE MOTOR OIL SAE 20W-50 (3 L),Havoline,20W-50,3.0,PCMO,4735.0,1578.0,5250.0,9.8,https://www.pakwheels.com/accessories-spare-parts/havoline-motor-oil-sae-20w-50-3-l-6007138
pakwheels,HAVOLINE MOTOR OIL SAE 20W-50 ( 1 L),Havoline,20W-50,1.0,PCMO,1580.0,1580.0,1749.0,9.7,https://www.pakwheels.com/accessories-spare-parts/havoline-motor-oil-sae-20w-50-1-l-6007125
pakwheels,HAVOLINE MOTOR OIL EXTRA SAE 10W-40 ( 3 L),Havoline,10W-40,3.0,PCMO,5420.0,1807.0,6000.0,9.7,https://www.pakwheels.com/accessories-spare-parts/havoline-motor-oil-extra-sae-10w-40-3-l-6007199
pakwheels,DELO GOLD(ISOSYN) MG ULTRA 15W-40 (4 L),Delo Gold,15W-40,4.0,HDEO,6865.0,1716.0,7599.0,9.7,https://www.pakwheels.com/accessories-spare-parts/delo-goldisosyn-mg-ultra-15w-40-4-l-6014972
pakwheels,HAVOLINE SUPER 4T SAE 20W-50 (700 ML),Havoline Super 4T,20W-50,0.7,MCO,1075.0,1536.0,1200.0,10.4,https://www.pakwheels.com/accessories-spare-parts/havoline-super-4t-sae-20w-50-700-ml-6007017
pakwheels,Honda Genuine 0W-20 SN - 3.7 Litre,Honda Genuine,0W-20,3.7,PCMO,10499.0,2838.0,12997.0,19.2,https://www.pakwheels.com/accessories-spare-parts/honda-genuine-0w-20-sn-37-litre-3581696
pakwheels,HAVOLINE ProDS FULLY SYNTHETIC 0W-20 (4 L),Havoline Pro-DS,0W-20,4.0,PCMO,10240.0,2560.0,11399.0,10.2,https://www.pakwheels.com/accessories-spare-parts/havoline-prods-fully-synthetic-0w-20-4-l-6007319
pakwheels,Liqui Moly MOS2 10W-40 API-SL Engine Oil - 4 Litre,,10W-40,4.0,PCMO,14000.0,3500.0,0.0,0.0,https://www.pakwheels.com/accessories-spare-parts/liqui-moly-mos2-10w-40-api-sl-engine-oil-4-litre-8202902
pakwheels,DELO GOLD(ISOSYN) MG ULTRA 15W-40 (1 L),Delo Gold,15W-40,1.0,HDEO,1730.0,1730.0,1920.0,9.9,https://www.pakwheels.com/accessories-spare-parts/delo-goldisosyn-mg-ultra-15w-40-1-l-6014692
pakwheels,HAVOLINE ProDS FULLY SYNTHETIC 5W-40 (1 L),Havoline Pro-DS,5W-40,1.0,PCMO,2560.0,2560.0,2849.0,10.1,https://www.pakwheels.com/accessories-spare-parts/havoline-prods-fully-synthetic-5w-40-1-l-6007448
pakwheels,Motul Engine Motor Oil 7100 10w-40 4t-1L,,10W-40,1.0,MCO,3950.0,3950.0,0.0,0.0,https://www.pakwheels.com/accessories-spare-parts/motul-engine-motor-oil-7100-10w-40-4t-1l-8111570
pakwheels,HAVOLINE FORMULA SAE 10W-30 (4 L),Havoline,10W-30,4.0,PCMO,7660.0,1915.0,8499.0,9.9,https://www.pakwheels.com/accessories-spare-parts/havoline-formula-sae-10w-30-4-l-6007251
pakwheels,Motul Engine Motor Oil 7100 20w-50 4t-1L,,20W-50,1.0,MCO,3950.0,3950.0,0.0,0.0,https://www.pakwheels.com/accessories-spare-parts/motul-engine-motor-oil-7100-20w-50-4t-1l-8111612
pakwheels,Totachi 0w20 API SP GF6A Hyper Eco Drive Full Synthetic Oil 4L,Totachi,0W-20,4.0,PCMO,13800.0,3450.0,0.0,0.0,https://www.pakwheels.com/accessories-spare-parts/totachi-0w20-api-sp-gf6a-hyper-eco-drive-full-synthetic-oil-4l-7641988
